Number,Direction,Clue,Answer
1,ACROSS,Cervantes hero,QUIXOTE
2,DOWN,Atomic particle,ELECTRON
3,ACROSS,Land mass,CONTINENT
4,ACROSS,Cervantes hero,QUIXOTE
5,DOWN,Atomic particle,ELECTRON
6,ACROSS,Land mass,CONTINENT
7,ACROSS,Cervantes hero,QUIXOTE
8,DOWN,Atomic particle,ELECTRON
9,ACROSS,Land mass,CONTINENT
10,ACROSS,Cervantes hero,QUIXOTE
11,DOWN,Atomic particle,ELECTRON
12,ACROSS,Land mass,CONTINENT
13,ACROSS,Cervantes hero,QUIXOTE
14,DOWN,Atomic particle,ELECTRON
15,ACROSS,Land mass,CONTINENT
16,ACROSS,Cervantes hero,QUIXOTE
17,DOWN,Atomic particle,ELECTRON
18,ACROSS,Land mass,CONTINENT
19,ACROSS,Cervantes hero,QUIXOTE
20,DOWN,Atomic particle,ELECTRON
21,ACROSS,Land mass,CONTINENT
22,ACROSS,Cervantes hero,QUIXOTE
23,DOWN,Atomic particle,ELECTRON
24,ACROSS,Land mass,CONTINENT
25,ACROSS,Cervantes hero,QUIXOTE
26,DOWN,Atomic particle,ELECTRON
27,ACROSS,Land mass,CONTINENT
28,ACROSS,Cervantes hero,QUIXOTE
29,DOWN,Atomic particle,ELECTRON
30,ACROSS,Land mass,CONTINENT
